,SK_Pedidos,en_destino,en_origem,SK_Localizacoes
113845,92978,,19128.0,19128.0
113846,92979,,,
113847,92980,,22501.0,22501.0
113848,92980,,22502.0,22502.0
113849,92981,,,
113850,92982,,,
113851,92983,,,
113852,92984,,3697.0,3697.0
113853,92985,,,
113854,92986,,,
113855,92987,,,
113856,92988,,,
113857,92989,,,
113858,92990,,,
113859,92991,,3619.0,3619.0
113860,92992,,,
113861,92993,,,
113862,92994,,19172.0,19172.0
113863,92995,,26976.0,26976.0
113864,92995,,26977.0,26977.0
113865,92996,,,
113866,92997,,,
113867,92998,,,
113868,92999,,17114.0,17114.0
113869,93000,,,
113870,93001,,18498.0,18498.0
113871,93002,,,
113872,93003,,,
113873,93004,,24402.0,24402.0
113874,93004,,24403.0,24403.0
113875,93005,,,
113876,93006,,18498.0,18498.0
113877,93007,,,
113878,93008,,,
113879,93009,,,
113880,93010,,,
113881,93011,,18431.0,18431.0
113882,93011,,18432.0,18432.0
113883,93012,,,
113884,93013,,2563.0,2563.0
113885,93013,,2564.0,2564.0
113886,93014,,2563.0,2563.0
113887,93014,,2564.0,2564.0
113888,93015,,,
113889,93016,,16891.0,16891.0
113890,93017,,1735.0,1735.0
113891,93017,,1736.0,1736.0
113892,93018,,,
113893,93019,,,
113894,93020,,,
113895,93021,,,
113896,93022,,,
113897,93023,,,
113898,93024,,,
113899,93025,,11037.0,11037.0
113900,93026,,26122.0,26122.0
113901,93026,,26123.0,26123.0
113902,93027,,26122.0,26122.0
113903,93027,,26123.0,26123.0
113904,93028,,18498.0,18498.0
113905,93029,,,
113906,93030,,,
113907,93031,,21605.0,21605.0
113908,93032,,,
113909,93033,,20674.0,20674.0
113910,93033,,20675.0,20675.0
113911,93034,,,
113912,93035,,21392.0,21392.0
113913,93035,,21393.0,21393.0
113914,93036,,,
113915,93037,,24455.0,24455.0
113916,93037,,24456.0,24456.0
113917,93038,,25353.0,25353.0
113918,93038,,25354.0,25354.0
113919,93039,,,
113920,93040,,,
113921,93041,,,
113922,93042,,,
113923,93043,,19172.0,19172.0
113924,93044,,,
113925,93045,,13476.0,13476.0
113926,93045,,13477.0,13477.0
113927,93046,,,
113928,93047,,,
113929,93048,,23470.0,23470.0
113930,93048,,23471.0,23471.0
113931,93049,,20126.0,20126.0
113932,93050,,,
113933,93051,,,
113934,93052,,17677.0,17677.0
113935,93053,,,
113936,93054,,4904.0,4904.0
113937,93054,,4905.0,4905.0
113938,93055,,,
113939,93056,,,
113940,93057,,,
113941,93058,,15392.0,15392.0
113942,93058,,15393.0,15393.0
113943,93059,,25406.0,25406.0
113944,93059,,25407.0,25407.0
113945,93060,,20676.0,20676.0
113946,93060,,20677.0,20677.0
113947,93061,,,
113948,93062,,,
113949,93063,,23470.0,23470.0
113950,93063,,23471.0,23471.0
113951,93064,,,
113952,93065,,,
113953,93066,,,
113954,93067,,20539.0,20539.0
113955,93067,,20540.0,20540.0
113956,93068,,24518.0,24518.0
113957,93068,,24519.0,24519.0
113958,93069,,,
113959,93070,,19172.0,19172.0
113960,93071,,,
113961,93072,,,
113962,93073,,,
113963,93074,,17176.0,17176.0
113964,93075,,,
113965,93076,,17409.0,17409.0
113966,93077,,17409.0,17409.0
113967,93078,,17409.0,17409.0
113968,93079,,,
113969,93080,,,
113970,93081,,25248.0,25248.0
113971,93081,,25249.0,25249.0
113972,93082,,19048.0,19048.0
113973,93083,,,
113974,93084,,,
113975,93085,,,
113976,93086,,20674.0,20674.0
113977,93086,,20675.0,20675.0
113978,93087,,20539.0,20539.0
113979,93087,,20540.0,20540.0
113980,93088,,,
113981,93089,,18877.0,18877.0
113982,93089,,18878.0,18878.0
113983,93089,,18879.0,18879.0
113984,93090,,,
113985,93091,,19319.0,19319.0
113986,93091,,19320.0,19320.0
113987,93092,,,
113988,93093,,13403.0,13403.0
113989,93094,,,
113990,93095,,2453.0,2453.0
113991,93096,,,
113992,93097,,,
113993,93098,,,
113994,93099,,,
113995,93100,,20052.0,20052.0
113996,93100,,20053.0,20053.0
113997,93101,,20052.0,20052.0
113998,93101,,20053.0,20053.0
113999,93102,,19319.0,19319.0
114000,93102,,19320.0,19320.0
114001,93103,,,
114002,93104,,,
114003,93105,,21210.0,21210.0
114004,93105,,21211.0,21211.0
114005,93106,,,
114006,93107,,13476.0,13476.0
114007,93107,,13477.0,13477.0
114008,93108,,17677.0,17677.0
114009,93109,,,
114010,93110,,18498.0,18498.0
114011,93111,,,
114012,93112,,,
114013,93113,,,
114014,93114,,,
114015,93115,,21954.0,21954.0
114016,93116,,,
114017,93117,,,
114018,93118,,,
114019,93119,,,
114020,93120,,,
114021,93121,,,
114022,93122,,2584.0,2584.0
114023,93122,,2585.0,2585.0
114024,93123,,,
114025,93124,,92.0,92.0
114026,93125,,19128.0,19128.0
114027,93126,,,
114028,93127,,19172.0,19172.0
114029,93128,,24455.0,24455.0
114030,93128,,24456.0,24456.0
114031,93129,,,
114032,93130,,,
114033,93131,,18604.0,18604.0
114034,93131,,18605.0,18605.0
114035,93132,,19883.0,19883.0
114036,93133,,,
114037,93134,,,
114038,93135,,,
114039,93136,,18522.0,18522.0
114040,93136,,18523.0,18523.0
114041,93137,,,
114042,93138,,20980.0,20980.0
114043,93138,,20981.0,20981.0
114044,93139,,,
114045,93140,,,
114046,93141,,,
114047,93142,,,
114048,93143,,,
114049,93144,,,
114050,93145,,26987.0,26987.0
114051,93145,,26988.0,26988.0
114052,93146,,6735.0,6735.0
114053,93146,,6736.0,6736.0
114054,93146,,6737.0,6737.0
114055,93147,,,
114056,93148,,,
114057,93149,,11037.0,11037.0
114058,93150,,,
114059,93151,,26987.0,26987.0
114060,93151,,26988.0,26988.0
114061,93152,,,
114062,93153,,,
114063,93154,,20674.0,20674.0
114064,93154,,20675.0,20675.0
114065,93155,,,
114066,93156,,18498.0,18498.0
114067,93157,,,
114068,93158,,18800.0,18800.0
114069,93159,,13476.0,13476.0
114070,93159,,13477.0,13477.0
114071,93160,,19048.0,19048.0
114072,93161,,,
114073,93162,,1827.0,1827.0
114074,93162,,1828.0,1828.0
114075,93163,,,
114076,93164,,,
114077,93165,,19128.0,19128.0
114078,93166,,,
114079,93167,,,
114080,93168,,,
114081,93169,,,
114082,93170,,,
114083,93171,,,
114084,93172,,,
114085,93173,,,
114086,93174,,,
114087,93175,,,
114088,93176,,,
114089,93177,,,
114090,93178,,,
114091,93179,,,
114092,93180,,,
114093,93181,,21377.0,21377.0
114094,93182,,1779.0,1779.0
114095,93183,,,
114096,93184,,20674.0,20674.0
114097,93184,,20675.0,20675.0
114098,93185,,945.0,945.0
114099,93186,,14833.0,14833.0
114100,93187,,,
114101,93188,,20251.0,20251.0
114102,93188,,20252.0,20252.0
114103,93188,,20253.0,20253.0
114104,93188,,20254.0,20254.0
114105,93189,,20674.0,20674.0
114106,93189,,20675.0,20675.0
114107,93190,,26079.0,26079.0
114108,93190,,26080.0,26080.0
114109,93191,,,
114110,93192,,,
114111,93193,,,
114112,93194,,,
114113,93195,,,
114114,93196,,,
114115,93197,,,
114116,93198,,25858.0,25858.0
114117,93198,,25859.0,25859.0
114118,93199,,,
114119,93200,,24402.0,24402.0
114120,93200,,24403.0,24403.0
114121,93201,,,
114122,93202,,,
114123,93203,,,
114124,93204,,,
114125,93205,,24909.0,24909.0
114126,93205,,24910.0,24910.0
114127,93206,,27375.0,27375.0
